Date,"KOREA ENHANCED VALUE Standard (Large+Mid Cap) Enhanced Value"
1997/11/28,1000
1997/12/31,905.277
1998/01/30,1217.678
1998/02/27,1157.472
1998/03/31,1065.24
1998/04/30,866.026
1998/05/29,659.468
1998/06/30,543.795
1998/07/31,664.529
1998/08/31,660.055
1998/09/30,678.119
1998/10/30,832.919
1998/11/30,1000.185
1998/12/31,1485.614
1999/01/29,1608.503
1999/02/26,1485.764
1999/03/31,1769.693
1999/04/30,2313.226
1999/05/31,2461.048
1999/06/30,2794.279
1999/07/30,2693.155
1999/08/31,2413.76
1999/09/30,2113.08
1999/10/29,2141.398
1999/11/30,2260.541
1999/12/31,2000.604
2000/01/31,1929.706
2000/02/29,1782.014
2000/03/31,1876.746
2000/04/28,1642.216
2000/05/31,1460.605
2000/06/30,1722.825
2000/07/31,1502.492
2000/08/31,1497.997
2000/09/29,1327.742
2000/10/31,1216.014
2000/11/30,1167.005
2000/12/29,1175.796
2001/01/31,1517.533
2001/02/28,1476.228
2001/03/30,1225.928
2001/04/30,1320.668
2001/05/31,1470.229
2001/06/29,1451.961
2001/07/31,1264.871
2001/08/31,1247.349
2001/09/28,1078.705
2001/10/31,1198.128
2001/11/30,1492.249
2001/12/31,1581.562
2002/01/31,1732.26
2002/02/28,2042.458
2002/03/29,2452.528
2002/04/30,2305.538
2002/05/31,2125.845
2002/06/28,1963.006
2002/07/31,1920.954
2002/08/30,1998.404
2002/09/30,1713.506
2002/10/31,1766.342
2002/11/29,1967.472
2002/12/31,1663.125
2003/01/31,1610.589
2003/02/28,1574.659
2003/03/31,1540.992
2003/04/30,1706.747
2003/05/30,1846.467
2003/06/30,1980.569
2003/07/31,2144.316
2003/08/29,2285.461
2003/09/30,2063.978
2003/10/31,2405.557
2003/11/28,2549.019
2003/12/31,2705.835
2004/01/30,2959.406
2004/02/27,3000.226
2004/03/31,3010.957
2004/04/30,2838.853
2004/05/31,2609.677
2004/06/30,2571.302
2004/07/30,2466.839
2004/08/31,2614.74
2004/09/30,2720.173
2004/10/29,2744.515
2004/11/30,2782.883
2004/12/31,2830.967
2005/01/31,2934.058
2005/02/28,3246.62
2005/03/31,3059.039
2005/04/29,2851.698
2005/05/31,2998.656
2005/06/30,3125.051
2005/07/29,3463.343
2005/08/31,3373.63
2005/09/30,3899.56
2005/10/31,3669.531
2005/11/30,4097.049
