Date,"KOREA MOMENTUM Standard (Large+Mid Cap) Momentum"
1995/05/31,1000
1995/06/30,1038.44
1995/07/31,1049.458
1995/08/31,1006.747
1995/09/29,1116.11
1995/10/31,1141.07
1995/11/30,1040.879
1995/12/29,1033.277
1996/01/31,1049.106
1996/02/29,1034.212
1996/03/29,1030.217
1996/04/30,1134.746
1996/05/31,1018.762
1996/06/28,915.437
1996/07/31,919.412
1996/08/30,828.178
1996/09/30,791.893
1996/10/31,748.045
1996/11/29,724.707
1996/12/31,643.759
1997/01/31,654.53
1997/02/28,648.715
1997/03/31,584.387
1997/04/30,599.144
1997/05/30,599.891
1997/06/30,598.716
1997/07/31,603.15
1997/08/29,595.087
1997/09/30,552.13
1997/10/31,412.337
1997/11/28,330.768
1997/12/31,320.293
1998/01/30,482.153
1998/02/27,481.951
1998/03/31,415.402
1998/04/30,383.098
1998/05/29,309.476
1998/06/30,261.216
1998/07/31,299.275
1998/08/31,272.748
1998/09/30,266.257
1998/10/30,344.088
1998/11/30,366.098
1998/12/31,491.5
1999/01/29,497.115
1999/02/26,464.759
1999/03/31,542.804
1999/04/30,703.051
1999/05/31,692.367
1999/06/30,800.817
1999/07/30,777.693
1999/08/31,685.577
1999/09/30,590.127
1999/10/29,644.766
1999/11/30,806.261
1999/12/31,849.492
2000/01/31,841.923
2000/02/29,765.25
2000/03/31,806.526
2000/04/28,695.623
2000/05/31,742.188
2000/06/30,796.272
2000/07/31,638.354
2000/08/31,592.472
2000/09/29,519.21
2000/10/31,436.594
2000/11/30,429.853
2000/12/29,432.143
2001/01/31,528.993
2001/02/28,488.078
2001/03/30,450.271
2001/04/30,508.884
2001/05/31,525.365
2001/06/29,536.968
2001/07/31,465.334
2001/08/31,462.959
2001/09/28,412.16
2001/10/31,471.036
2001/11/30,615.434
2001/12/31,684.192
2002/01/31,771.214
2002/02/28,860.365
2002/03/29,926.77
2002/04/30,929.562
2002/05/31,869.882
2002/06/28,827.199
2002/07/31,794.351
2002/08/30,815.812
2002/09/30,652.764
2002/10/31,664.537
2002/11/29,767.272
2002/12/31,638.02
2003/01/31,612.723
2003/02/28,599.212
2003/03/31,573.195
2003/04/30,629.171
2003/05/30,668.522
2003/06/30,705.897
2003/07/31,760.383
2003/08/29,822.248
2003/09/30,751.179
2003/10/31,880.695
2003/11/28,910.771
2003/12/31,928.239
2004/01/30,988.202
2004/02/27,1007.161
2004/03/31,1025.206
2004/04/30,985.351
2004/05/31,924.945
2004/06/30,893.8
2004/07/30,836.686
2004/08/31,892.237
2004/09/30,948.933
2004/10/29,951.022
2004/11/30,976.273
2004/12/31,955.318
2005/01/31,971.939
2005/02/28,1057.854
2005/03/31,1013.865
2005/04/29,977.444
2005/05/31,1001.337
2005/06/30,1059.041
2005/07/29,1184.082
2005/08/31,1197.059
2005/09/30,1349.074
2005/10/31,1262.725
2005/11/30,1429.477
2005/12/30,1557.42
2006/01/31,1463.936
2006/02/28,1495.053
2006/03/31,1510.135
2006/04/28,1651.861
2006/05/31,1474.659
2006/06/30,1452.113
2006/07/31,1518.005
2006/08/31,1503.288
2006/09/29,1545.732
2006/10/31,1595.755
2006/11/30,1666.172
2006/12/29,1603.937
2007/01/31,1521.253
2007/02/28,1653.08
2007/03/30,1745.02
2007/04/30,2035.244
2007/05/31,2481.126
2007/06/29,2480.276
2007/07/31,2815.362
2007/08/31,2807
2007/09/28,3030.1
2007/10/31,3385.991
2007/11/30,2917.716
2007/12/31,2723.327
2008/01/31,2132.083
2008/02/29,2556.439
2008/03/31,2483.641
2008/04/30,2546.936
2008/05/30,2613.665
2008/06/30,2303.058
2008/07/31,2192.232
2008/08/29,2029.566
2008/09/30,2053.284
2008/10/31,1729.471
2008/11/28,1718.265
2008/12/31,1714.022
2009/01/30,1725.28
2009/02/27,1621.887
2009/03/31,1752.335
2009/04/30,1895.24
2009/05/29,1889.819
2009/06/30,1812.888
2009/07/31,1934.391
2009/08/31,2128.432
2009/09/30,2343.795
2009/10/30,2222.626
2009/11/30,2196.361
2009/12/31,2433.66
2010/01/29,2202.463
2010/02/26,2217.419
2010/03/31,2390.802
2010/04/30,2651.026
2010/05/31,2633.073
2010/06/30,2727.309
2010/07/30,2691.677
2010/08/31,2631.289
2010/09/30,2811.744
2010/10/29,2911.064
2010/11/30,3052.479
2010/12/31,3210.277
2011/01/31,3400.34
2011/02/28,3187.891
2011/03/31,3776.958
2011/04/29,4137.631
2011/05/31,4176.429
2011/06/30,3975.979
2011/07/29,3948.45
2011/08/31,3396.255
2011/09/30,3340.32
2011/10/31,3373.657
2011/11/30,3254.384
2011/12/30,3202.919
2012/01/31,3265.725
2012/02/29,3338.324
2012/03/30,3512.432
2012/04/30,3694.209
2012/05/31,3462.982
2012/06/29,3404.185
2012/07/31,3486.208
2012/08/31,3437.07
2012/09/28,3569.956
2012/10/31,3366.697
2012/11/30,3499.406
2012/12/31,3541.308
2013/01/31,3418.215
2013/02/28,3559.159
2013/03/29,3532.419
2013/04/30,3524.66
2013/05/31,3491.657
2013/06/28,3235.962
2013/07/31,3283.292
2013/08/30,3359.881
2013/09/30,3479.041
2013/10/31,3600.941
2013/11/29,3710.95
2013/12/31,3723.567
2014/01/31,3583.025
2014/02/28,3870.48
2014/03/31,3871.787
2014/04/30,3701.065
2014/05/30,3778.71
2014/06/30,3948.958
2014/07/31,3984.697
2014/08/29,4060.997
2014/09/30,4096.262
2014/10/31,3996.36
2014/11/28,3978.883
2014/12/31,3686.353
2015/01/30,3934.306
2015/02/27,3936.266
2015/03/31,4090.274
2015/04/30,4363.474
2015/05/29,4491.741
2015/06/30,4769.472
2015/07/31,4804.379
2015/08/31,4456.76
2015/09/30,4282.911
2015/10/30,4390.547
2015/11/30,4630.593
2015/12/31,4636.777
2016/01/29,4730.355
2016/02/29,4423.649
2016/03/31,4572.113
2016/04/29,4543.344
2016/05/31,4614.922
2016/06/30,4527.45
2016/07/29,4473.878
2016/08/31,4386.684
2016/09/30,4455.534
2016/10/31,4178.152
2016/11/30,4087.879
2016/12/30,4181.127
2017/01/31,4450.117
2017/02/28,4360.816
2017/03/31,4587.9
2017/04/28,4734.358
2017/05/31,4989.29
2017/06/30,5375.049
2017/07/31,5433.249
2017/08/31,5452.543
2017/09/29,5842.765
2017/10/31,6015.4
2017/11/30,5807.41
2017/12/29,5862.841
2018/01/31,6088.277
2018/02/28,5901.067
2018/03/30,5995.068
2018/04/30,6043.662
2018/05/31,5912.899
2018/06/29,5766.795
2018/07/31,5324.078
2018/08/31,5528.812
2018/09/28,5616.101
2018/10/31,4497.946
2018/11/30,4726.961
2018/12/31,4616.032
2019/01/31,4658.637
2019/02/28,4711.803
2019/03/29,4534.907
2019/04/30,4726.731
2019/05/31,4272.892
2019/06/28,4469.351
2019/07/31,4323.159
2019/08/30,4304.363
2019/09/30,4311.123
2019/10/31,4172.775
2019/11/29,4149.487
2019/12/31,4502.212
2020/01/31,4439.863
2020/02/28,4245.566
2020/03/31,3861.951
2020/04/30,4168.594
2020/05/29,4404.096
2020/06/30,4854.964
