Date,"KOREA RISK WEIGHTED Standard (Large+Mid Cap) Risk Weighted"
1995/05/31,1000
1995/06/30,999.653
1995/07/31,1062.154
1995/08/31,1069.339
1995/09/29,1134.129
1995/10/31,1107.175
1995/11/30,1056.986
1995/12/29,977.833
1996/01/31,970.696
1996/02/29,942.01
1996/03/29,949.497
1996/04/30,1089.179
1996/05/31,1031.574
1996/06/28,931.186
1996/07/31,929.262
1996/08/30,886.335
1996/09/30,867.421
1996/10/31,864.295
1996/11/29,832.119
1996/12/31,741.61
1997/01/31,771.45
1997/02/28,753.609
1997/03/31,724.447
1997/04/30,757.448
1997/05/30,796.139
1997/06/30,789.424
1997/07/31,767.16
1997/08/29,742.599
1997/09/30,682.957
1997/10/31,516.08
1997/11/28,409.493
1997/12/31,354.565
1998/01/30,515.518
1998/02/27,487.683
1998/03/31,442.92
1998/04/30,361.817
1998/05/29,299.147
1998/06/30,255.345
1998/07/31,315.258
1998/08/31,267.112
1998/09/30,260.187
1998/10/30,324.132
1998/11/30,385.746
1998/12/31,517.908
1999/01/29,522.237
1999/02/26,479.615
1999/03/31,580.226
1999/04/30,778.308
1999/05/31,771.203
1999/06/30,895.966
1999/07/30,954.051
1999/08/31,894.687
1999/09/30,764.643
1999/10/29,756.106
1999/11/30,801.497
1999/12/31,725.022
2000/01/31,687.063
2000/02/29,639.658
2000/03/31,640.999
2000/04/28,542.944
2000/05/31,483.909
2000/06/30,552.77
2000/07/31,491.533
2000/08/31,496.067
2000/09/29,448.537
2000/10/31,373.824
2000/11/30,352.326
2000/12/29,332.3
2001/01/31,464.673
2001/02/28,460.965
2001/03/30,390.713
2001/04/30,430.685
2001/05/31,499.829
2001/06/29,491.513
2001/07/31,427.476
2001/08/31,424.049
2001/09/28,386.313
2001/10/31,423.304
2001/11/30,523.091
2001/12/31,558.598
2002/01/31,630.154
2002/02/28,691.704
2002/03/29,790.387
2002/04/30,703.31
2002/05/31,657.749
2002/06/28,605.568
2002/07/31,589.963
2002/08/30,606.319
2002/09/30,514.275
2002/10/31,522.345
2002/11/29,581.176
2002/12/31,506.683
2003/01/31,488.497
2003/02/28,480.354
2003/03/31,456.299
2003/04/30,516.809
2003/05/30,571.562
2003/06/30,589.743
2003/07/31,622.82
2003/08/29,650.784
2003/09/30,606.307
2003/10/31,684.35
2003/11/28,719.022
2003/12/31,741.62
2004/01/30,748.445
2004/02/27,775.649
2004/03/31,770.543
2004/04/30,759.36
2004/05/31,705.381
2004/06/30,710.141
2004/07/30,682.301
2004/08/31,730.469
2004/09/30,765.569
2004/10/29,771.553
2004/11/30,814.909
2004/12/31,832.159
2005/01/31,863.731
2005/02/28,933.998
2005/03/31,901.846
2005/04/29,858.709
2005/05/31,915.151
2005/06/30,963.989
2005/07/29,1054.299
2005/08/31,1053.737
2005/09/30,1195.614
2005/10/31,1133.686
2005/11/30,1309.505
2005/12/30,1378.729
2006/01/31,1381.195
2006/02/28,1381.811
2006/03/31,1392.394
2006/04/28,1443.72
2006/05/31,1316.999
2006/06/30,1279.981
2006/07/31,1284.223
2006/08/31,1332.428
2006/09/29,1366.267
2006/10/31,1383.418
2006/11/30,1458.352
2006/12/29,1470.512
2007/01/31,1390.6
2007/02/28,1445.305
2007/03/30,1480.095
2007/04/30,1588.543
2007/05/31,1779.097
2007/06/29,1833.01
2007/07/31,2023.251
2007/08/31,1979.566
2007/09/28,2050.786
2007/10/31,2182.618
2007/11/30,2001.174
2007/12/31,2021.962
2008/01/31,1751.19
2008/02/29,1802.064
2008/03/31,1811.017
2008/04/30,1964.863
2008/05/30,1946.741
2008/06/30,1760.481
2008/07/31,1701.143
2008/08/29,1613.621
2008/09/30,1574.527
2008/10/31,1213.464
2008/11/28,1182.598
2008/12/31,1241.471
2009/01/30,1287.33
2009/02/27,1164.799
2009/03/31,1317.699
2009/04/30,1515.822
2009/05/29,1570.748
2009/06/30,1568.088
2009/07/31,1720.196
2009/08/31,1744.168
2009/09/30,1849.311
2009/10/30,1760.487
2009/11/30,1730.541
2009/12/31,1838.793
2010/01/29,1779.271
2010/02/26,1767.55
2010/03/31,1854.49
2010/04/30,1905.267
2010/05/31,1826.015
2010/06/30,1895.233
2010/07/30,1968.944
2010/08/31,1991.371
2010/09/30,2151.804
2010/10/29,2144.461
2010/11/30,2169.858
2010/12/31,2317.936
2011/01/31,2292.614
2011/02/28,2136.549
2011/03/31,2319.328
2011/04/29,2399.58
2011/05/31,2340.217
2011/06/30,2361.887
2011/07/29,2393.08
2011/08/31,2166.865
2011/09/30,2022.965
2011/10/31,2144.791
2011/11/30,2068.184
2011/12/30,2041.505
2012/01/31,2178.935
2012/02/29,2223.863
2012/03/30,2203.264
2012/04/30,2106.086
2012/05/31,2016.317
2012/06/29,2043.534
2012/07/31,2046.55
2012/08/31,2111.306
2012/09/28,2200.953
2012/10/31,2136.318
2012/11/30,2140.837
2012/12/31,2204.503
2013/01/31,2183.335
2013/02/28,2239.559
2013/03/29,2197.881
2013/04/30,2136.593
2013/05/31,2192.768
2013/06/28,2072.789
2013/07/31,2171.255
2013/08/30,2146.78
2013/09/30,2258.21
2013/10/31,2282.153
2013/11/29,2291.144
2013/12/31,2298.839
2014/01/31,2238.79
2014/02/28,2265.792
2014/03/31,2280.425
2014/04/30,2266.067
2014/05/30,2287.99
2014/06/30,2340.388
2014/07/31,2455.758
2014/08/29,2474.559
2014/09/30,2403.749
2014/10/31,2314.198
2014/11/28,2311.912
2014/12/31,2183.401
2015/01/30,2226.108
2015/02/27,2285.371
2015/03/31,2334.217
2015/04/30,2483.22
2015/05/29,2451.186
2015/06/30,2380.685
2015/07/31,2330.409
2015/08/31,2234.986
2015/09/30,2247.299
2015/10/30,2306.021
2015/11/30,2268.297
2015/12/31,2219.598
2016/01/29,2200.954
2016/02/29,2184.588
2016/03/31,2264.089
2016/04/29,2299.761
2016/05/31,2254.208
2016/06/30,2185.004
2016/07/29,2232.818
2016/08/31,2242.31
2016/09/30,2260.544
2016/10/31,2245.357
2016/11/30,2194.498
2016/12/30,2227.518
2017/01/31,2246.191
2017/02/28,2309.013
2017/03/31,2360.152
2017/04/28,2399.761
2017/05/31,2608.381
2017/06/30,2614.905
2017/07/31,2654.64
2017/08/31,2583.525
2017/09/29,2522.917
2017/10/31,2631.771
2017/11/30,2630.747
2017/12/29,2634.051
2018/01/31,2757.089
2018/02/28,2582.271
2018/03/30,2553.331
2018/04/30,2624.239
2018/05/31,2513.091
2018/06/29,2474.626
2018/07/31,2433.275
2018/08/31,2421.552
2018/09/28,2493.257
2018/10/31,2208.637
2018/11/30,2298.547
2018/12/31,2282.788
2019/01/31,2382.667
2019/02/28,2396.53
2019/03/29,2330.027
2019/04/30,2389.947
2019/05/31,2236.977
2019/06/28,2293.572
2019/07/31,2158.542
2019/08/30,2073.845
2019/09/30,2129.3
2019/10/31,2106.996
2019/11/29,2119.979
2019/12/31,2178.879
2020/01/31,2029.642
2020/02/28,1868.721
2020/03/31,1598.623
2020/04/30,1808.916
2020/05/29,1860.421
2020/06/30,1849.066
2020/07/31,1929.114
2020/08/31,2030.707
2020/09/30,2019.204
2020/10/30,1992.248
2020/11/30,2192.717
2020/12/31,2350.646
2021/01/29,2391.194
2021/02/26,2424.237
2021/03/31,2521.626
2021/04/30,2602.872
2021/05/31,2668.993
2021/06/30,2714.563
